terminal,at_utc,claimed,reason,claimed_item_id,history_skipped,q08_dsr_context_skipped,ram_class_skipped,history_claim_preflights_count
T9,2026-09-15T08:54:34.159+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:54:34.490+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:54:34.967+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:54:35.255+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:54:35.511+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:54:35.848+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:54:44.806+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:54:45.145+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:54:45.628+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:54:45.972+00:00,False,no_pending_claimable,,,,273,0
T1,2026-09-15T08:54:46.251+00:00,False,no_pending_claimable,,,,265,0
T8,2026-09-15T08:54:46.583+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:54:55.390+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:54:55.811+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:54:56.300+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:54:56.625+00:00,False,no_pending_claimable,,,,273,0
T1,2026-09-15T08:54:56.886+00:00,False,no_pending_claimable,,,,265,0
T8,2026-09-15T08:54:57.137+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:55:09.393+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:55:09.735+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:55:10.040+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:55:10.432+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:55:10.746+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:55:11.113+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:55:20.884+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:55:21.229+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:55:21.537+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:55:21.808+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:55:22.105+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:55:22.356+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:55:31.856+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:55:32.227+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:55:32.555+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:55:32.867+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:55:33.148+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:55:33.452+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:55:42.850+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:55:43.195+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:55:43.623+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:55:43.958+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:55:44.329+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:55:44.623+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:55:53.580+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:55:53.952+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:55:54.475+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:55:54.833+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:55:55.110+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:55:55.434+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:56:04.694+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:56:05.023+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:56:05.734+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:56:06.016+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:56:06.365+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:56:06.705+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:56:16.333+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:56:16.656+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:56:17.201+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:56:17.512+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:56:17.832+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:56:18.092+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:56:26.915+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:56:27.238+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:56:28.045+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:56:28.366+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:56:28.596+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:56:28.916+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:56:37.298+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:56:37.843+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:56:38.775+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:56:39.061+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:56:39.347+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:56:39.606+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:56:47.749+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:56:48.345+00:00,False,no_pending_claimable,,,,276,0
T1,2026-09-15T08:56:49.317+00:00,False,no_pending_claimable,,,,265,0
T2,2026-09-15T08:56:49.571+00:00,False,no_pending_claimable,,,,268,0
T10,2026-09-15T08:56:49.890+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:56:50.164+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:56:58.589+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:56:58.902+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:57:00.000+00:00,False,no_pending_claimable,,,,268,0
T1,2026-09-15T08:57:00.308+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:57:00.561+00:00,False,no_pending_claimable,,,,273,0
T8,2026-09-15T08:57:00.826+00:00,False,no_pending_claimable,,,,276,0
T4,2026-09-15T08:57:10.132+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:57:10.469+00:00,False,no_pending_claimable,,,,276,0
T2,2026-09-15T08:57:12.382+00:00,True,,6809b09f-d907-4128-8637-a738165c85b0,,,94,1
T8,2026-09-15T08:57:12.442+00:00,False,claim_spacing_wait,,,,,0
T1,2026-09-15T08:57:12.482+00:00,False,claim_spacing_wait,,,,,1
T10,2026-09-15T08:57:12.543+00:00,False,claim_spacing_wait,,,,,1
T7,2026-09-15T08:57:18.214+00:00,False,claim_spacing_wait,,,,,0
T4,2026-09-15T08:57:19.627+00:00,False,claim_spacing_wait,,,,,0
T9,2026-09-15T08:57:19.708+00:00,False,claim_spacing_wait,,,,,0
T7,2026-09-15T08:57:31.594+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:57:31.908+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:57:32.249+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:57:33.273+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:57:33.561+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:57:33.814+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:57:38.572+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:57:41.852+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:57:42.151+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:57:42.449+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:57:43.372+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:57:43.636+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:57:43.877+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:57:48.454+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:57:51.676+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:57:52.235+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:57:52.509+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:57:53.558+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:57:53.823+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:57:54.097+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:57:58.341+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:58:01.776+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:58:02.686+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:58:03.028+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:58:04.091+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:58:04.452+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:58:04.790+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:58:09.034+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:58:12.441+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:58:13.445+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:58:13.914+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:58:14.983+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:58:15.301+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:58:15.647+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:58:19.713+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:58:22.476+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:58:23.527+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:58:24.222+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:58:25.526+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:58:25.784+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:58:26.110+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:58:30.147+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:58:32.714+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:58:33.477+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:58:34.082+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:58:35.414+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:58:35.648+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:58:35.908+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:58:39.982+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:58:42.130+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:58:43.038+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:58:43.595+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:58:45.005+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:58:45.266+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:58:45.533+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:58:50.127+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:58:52.682+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:58:53.879+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:58:54.443+00:00,False,no_pending_claimable,,,,273,0
T4,2026-09-15T08:58:55.902+00:00,False,no_pending_claimable,,,,276,0
T8,2026-09-15T08:58:56.194+00:00,False,no_pending_claimable,,,,276,0
T9,2026-09-15T08:58:56.476+00:00,False,no_pending_claimable,,,,276,0
T5,2026-09-15T08:59:00.173+00:00,False,no_pending_claimable,,,,276,0
T7,2026-09-15T08:59:02.030+00:00,False,no_pending_claimable,,,,266,0
T1,2026-09-15T08:59:03.730+00:00,False,no_pending_claimable,,,,265,0
T10,2026-09-15T08:59:04.305+00:00,True,,a4fdec8b-5824-421b-90fc-20ee416234f2,,,16,1
T4,2026-09-15T08:59:05.896+00:00,False,claim_spacing_wait,,,,,0
T8,2026-09-15T08:59:05.937+00:00,False,claim_spacing_wait,,,,,0
T9,2026-09-15T08:59:06.224+00:00,False,claim_spacing_wait,,,,,0
T5,2026-09-15T08:59:10.243+00:00,False,claim_spacing_wait,,,,,0
T7,2026-09-15T08:59:11.400+00:00,False,claim_spacing_wait,,,,,0
T1,2026-09-15T08:59:12.605+00:00,False,claim_spacing_wait,,,,,0
T3,2026-09-15T08:59:21.081+00:00,False,no_pending_claimable,,101,8,296,3
T4,2026-09-15T08:59:27.951+00:00,False,no_pending_claimable,,101,8,296,3
T7,2026-09-15T08:59:30.243+00:00,False,factory_mutation_lock_busy,,,,,3
T9,2026-09-15T08:59:30.243+00:00,False,factory_mutation_lock_busy,,,,,3
T5,2026-09-15T08:59:31.742+00:00,False,factory_mutation_lock_busy,,,,,3
T8,2026-09-15T08:59:32.171+00:00,False,factory_mutation_lock_busy,,,,,3
T1,2026-09-15T08:59:32.910+00:00,False,factory_mutation_lock_busy,,,,,3
T4,2026-09-15T08:59:34.711+00:00,False,no_pending_claimable,,,,,0
T3,2026-09-15T08:59:34.899+00:00,False,no_pending_claimable,,101,8,296,3
T3,2026-09-15T08:59:47.069+00:00,False,no_pending_claimable,,101,8,296,3
T4,2026-09-15T08:59:47.116+00:00,False,claim_order_snapshot_stale,,,,,3
T3,2026-09-15T08:59:54.409+00:00,False,no_pending_claimable,,,,,0
T4,2026-09-15T08:59:58.801+00:00,False,no_pending_claimable,,101,8,296,3
T7,2026-09-15T09:00:07.745+00:00,False,no_pending_claimable,,101,8,286,3
T5,2026-09-15T09:00:13.595+00:00,False,factory_mutation_lock_busy,,,,,3
T9,2026-09-15T09:00:14.358+00:00,False,factory_mutation_lock_busy,,,,,3
T8,2026-09-15T09:00:14.372+00:00,False,factory_mutation_lock_busy,,,,,3
T1,2026-09-15T09:00:17.577+00:00,False,factory_mutation_lock_busy,,,,,3
T3,2026-09-15T09:00:19.253+00:00,False,no_pending_claimable,,101,8,296,3
T4,2026-09-15T09:00:22.836+00:00,False,no_pending_claimable,,102,7,296,3
T7,2026-09-15T09:00:26.697+00:00,False,no_pending_claimable,,101,8,286,3
T3,2026-09-15T09:00:32.462+00:00,False,no_pending_claimable,,101,8,296,3
T4,2026-09-15T09:00:36.567+00:00,False,no_pending_claimable,,101,8,296,3
T7,2026-09-15T09:00:40.815+00:00,False,no_pending_claimable,,101,8,286,3
T3,2026-09-15T09:00:46.421+00:00,False,no_pending_claimable,,101,8,296,3
T5,2026-09-15T09:00:51.581+00:00,False,factory_mutation_lock_busy,,,,,3
T4,2026-09-15T09:00:54.268+00:00,False,factory_mutation_lock_busy,,,,,3
T7,2026-09-15T09:00:55.892+00:00,False,factory_mutation_lock_busy,,,,,3
T8,2026-09-15T09:00:55.892+00:00,False,factory_mutation_lock_busy,,,,,3
T9,2026-09-15T09:00:57.472+00:00,False,factory_mutation_lock_busy,,,,,3
T1,2026-09-15T09:01:00.538+00:00,False,no_pending_claimable,,102,7,285,3
T3,2026-09-15T09:01:01.770+00:00,False,no_pending_claimable,,102,7,296,3
T1,2026-09-15T09:01:14.666+00:00,False,no_pending_claimable,,101,8,285,3
T3,2026-09-15T09:01:18.408+00:00,False,no_pending_claimable,,101,8,296,3
T5,2026-09-15T09:01:27.896+00:00,False,no_pending_claimable,,101,8,296,3
