event,reason,count,pct_of_warn_total,distinct_ea_ids,ea_ids,first_seen_utc,last_seen_utc,relevance,example_line
ENTRY_REJECTED,reason=TM_CUM_RSI2_LONG,3,0.004,1,11132,2026-07-21T17:21:57.859Z,2026-07-27T17:37:40.843Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-21T17:21:57.859Z"",""ts_broker"":""2026-07-21T20:21:59"",""level"":""WARN"",""ea_id"":11132,""slug"":""ea-11132"",""symbol"":""SP500"",""tf"":""D1"",""magic"":111320000,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_DUPLICATE"",""symbol"":""SP500"",""type"":""QM_BUY"",""reason"":""TM_CUM_RSI2_LONG"",""detail"":""open_position_same_magic_symbol"",""symbol_slot"":0}}"
ENTRY_REJECTED,reason=squeeze_short_sellstop,3,0.004,1,11421,2026-07-13T06:27:15.031Z,2026-07-15T21:05:17.953Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-13T06:27:15.031Z"",""ts_broker"":""2026-07-13T09:27:16"",""level"":""WARN"",""ea_id"":11421,""slug"":""ea-11421"",""symbol"":""AUDUSD"",""tf"":""D1"",""magic"":114210003,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""AUDUSD"",""type"":""QM_SELL_STOP"",""reason"":""squeeze_short_sellstop"",""detail"":""BROKER_OTHER"",""symbol_slot"":3}}"
BROKER_OTHER,retcode=10029,2,0.003,2,11421;11708,2026-08-02T21:05:01.703Z,2026-08-02T21:05:01.703Z,"IGNORABLE (order/position locked, transient)","{""sv"":1,""ts_utc"":""2026-08-02T21:05:01.703Z"",""ts_broker"":""2026-08-03T00:05:01"",""level"":""WARN"",""ea_id"":11421,""slug"":""ea-11421"",""symbol"":""EURUSD"",""tf"":""D1"",""magic"":114210000,""event"":""BROKER_OTHER"",""payload"":{""retcode"":10029,""retcode_class"":""BROKER_OTHER"",""retcode_comment"":""Modification failed due to order or position being close to market"",""symbol"":""EURUSD"",""type"":0,""volume"":0.00000000,""price"":0.0000"
TM_REMOVE_PENDING,reason=market_squeeze_pending_expired,2,0.003,1,11708,2026-08-02T21:05:01.703Z,2026-08-02T21:05:02.875Z,IGNORABLE (expected pending-order expiry/cancel),"{""ts_utc"":""2026-08-02T21:05:01.703Z"",""ts_broker"":""2026-08-03T00:05:01"",""level"":""WARN"",""ea_id"":11708,""slug"":""ea-11708"",""symbol"":""EURUSD"",""tf"":""D1"",""magic"":117080000,""event"":""TM_REMOVE_PENDING"",""payload"":{""ticket"":3170115321,""symbol"":""EURUSD"",""reason"":""market_squeeze_pending_expired"",""ok"":false,""retcode"":10029,""retcode_class"":""BROKER_OTHER""}}"
ENTRY_REJECTED,reason=ET_TURTLE20X_LONG_STOP,1,0.001,1,10403,2026-07-13T06:34:59.484Z,2026-07-13T06:34:59.484Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-13T06:34:59.484Z"",""ts_broker"":""2026-07-13T09:34:59"",""level"":""WARN"",""ea_id"":10403,""slug"":""ea-10403"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":104030002,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""XAUUSD"",""type"":""QM_BUY_STOP"",""reason"":""ET_TURTLE20X_LONG_STOP"",""detail"":""BROKER_OTHER"",""symbol_slot"":2}}"
ENTRY_REJECTED,reason=ET_TURTLE20X_SHORT_STOP,1,0.001,1,10403,2026-07-13T06:34:59.484Z,2026-07-13T06:34:59.484Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-13T06:34:59.484Z"",""ts_broker"":""2026-07-13T09:34:59"",""level"":""WARN"",""ea_id"":10403,""slug"":""ea-10403"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":104030002,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""XAUUSD"",""type"":""QM_SELL_STOP"",""reason"":""ET_TURTLE20X_SHORT_STOP"",""detail"":""BROKER_OTHER"",""symbol_slot"":2}}"
ENTRY_REJECTED,reason=QM5_10440_SHORT_MTF_STRUCTURE,1,0.001,1,10440,2026-07-16T13:59:57.250Z,2026-07-16T13:59:57.250Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-16T13:59:57.250Z"",""ts_broker"":""2026-07-16T17:00:00"",""level"":""WARN"",""ea_id"":10440,""slug"":""ea-10440"",""symbol"":""NDX"",""tf"":""H1"",""magic"":104400003,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""NDX"",""type"":""QM_SELL_STOP"",""reason"":""QM5_10440_SHORT_MTF_STRUCTURE"",""detail"":""BROKER_OTHER"",""symbol_slot"":3}}"
TM_REMOVE_PENDING,reason=squeeze_continues_cancel_buystop,1,0.001,1,11421,2026-07-20T10:36:45.828Z,2026-07-20T10:36:45.828Z,IGNORABLE (expected pending-order expiry/cancel),"{""ts_utc"":""2026-07-20T10:36:45.828Z"",""ts_broker"":""2026-07-20T13:36:45"",""level"":""WARN"",""ea_id"":11421,""slug"":""ea-11421"",""symbol"":""AUDUSD"",""tf"":""D1"",""magic"":114210003,""event"":""TM_REMOVE_PENDING"",""payload"":{""ticket"":3167599572,""symbol"":""AUDUSD"",""reason"":""squeeze_continues_cancel_buystop"",""ok"":false,""retcode"":10027,""retcode_class"":""BROKER_OTHER""}}"
ENTRY_REJECTED,reason=squeeze_long_buystop,1,0.001,1,11421,2026-07-20T10:36:45.828Z,2026-07-20T10:36:45.828Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-20T10:36:45.828Z"",""ts_broker"":""2026-07-20T13:36:45"",""level"":""WARN"",""ea_id"":11421,""slug"":""ea-11421"",""symbol"":""AUDUSD"",""tf"":""D1"",""magic"":114210003,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""AUDUSD"",""type"":""QM_BUY_STOP"",""reason"":""squeeze_long_buystop"",""detail"":""BROKER_OTHER"",""symbol_slot"":3}}"
TM_REMOVE_PENDING,reason=squeeze_continues_cancel_sellstop,1,0.001,1,11421,2026-08-02T21:05:02.703Z,2026-08-02T21:05:02.703Z,IGNORABLE (expected pending-order expiry/cancel),"{""sv"":1,""ts_utc"":""2026-08-02T21:05:02.703Z"",""ts_broker"":""2026-08-03T00:05:01"",""level"":""WARN"",""ea_id"":11421,""slug"":""ea-11421"",""symbol"":""EURUSD"",""tf"":""D1"",""magic"":114210000,""event"":""TM_REMOVE_PENDING"",""payload"":{""ticket"":3170263015,""symbol"":""EURUSD"",""reason"":""squeeze_continues_cancel_sellstop"",""ok"":false,""retcode"":10029,""retcode_class"":""BROKER_OTHER""}}"
BROKER_OTHER,retcode=10013,1,0.001,1,11708,2026-08-02T21:05:02.875Z,2026-08-02T21:05:02.875Z,"IGNORABLE (invalid request, isolated)","{""ts_utc"":""2026-08-02T21:05:02.875Z"",""ts_broker"":""2026-08-03T00:05:02"",""level"":""WARN"",""ea_id"":11708,""slug"":""ea-11708"",""symbol"":""EURUSD"",""tf"":""D1"",""magic"":117080000,""event"":""BROKER_OTHER"",""payload"":{""retcode"":10013,""retcode_class"":""BROKER_OTHER"",""retcode_comment"":""Invalid request"",""symbol"":""EURUSD"",""type"":0,""volume"":0.00000000,""price"":0.00000000,""sl"":0.00000000,""tp"":0.00000000,""magic"":0}}"
ENTRY_REJECTED,reason=QM5_1556_D1_12M_MOM_LONG,1,0.001,1,1556,2026-07-13T06:37:20.796Z,2026-07-13T06:37:20.796Z,IGNORABLE (expected strategy-side entry filter reject),"{""ts_utc"":""2026-07-13T06:37:20.796Z"",""ts_broker"":""2026-07-13T09:37:20"",""level"":""WARN"",""ea_id"":1556,""slug"":""ea-1556"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":15560004,""event"":""ENTRY_REJECTED"",""payload"":{""result"":""QM_ENTRY_REJECTED_BROKER"",""symbol"":""XAUUSD"",""type"":""QM_BUY"",""reason"":""QM5_1556_D1_12M_MOM_LONG"",""detail"":""BROKER_OTHER"",""symbol_slot"":4}}"
TM_CLOSE,reason=QM_EXIT_FRIDAY_CLOSE,1,0.001,1,1556,2026-08-07T17:59:57.171Z,2026-08-07T17:59:57.171Z,IGNORABLE (duplicate-close artifact after successful Friday close),"{""ts_utc"":""2026-08-07T17:59:57.171Z"",""ts_broker"":""2026-08-07T21:00:00"",""level"":""WARN"",""ea_id"":1556,""slug"":""ea-1556"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":15560004,""event"":""TM_CLOSE"",""payload"":{""ticket"":3171451848,""symbol"":""XAUUSD"",""lots"":0.02000000,""reason"":""QM_EXIT_FRIDAY_CLOSE"",""partial"":false,""ok"":false,""retcode"":10036,""retcode_class"":""BROKER_OTHER""}}"
FRIDAY_CLOSE_FAILED,reason=friday_close,1,0.001,1,1556,2026-08-07T17:59:57.171Z,2026-08-07T17:59:57.171Z,IGNORABLE (duplicate-close artifact; underlying Friday close succeeded),"{""ts_utc"":""2026-08-07T17:59:57.171Z"",""ts_broker"":""2026-08-07T21:00:00"",""level"":""WARN"",""ea_id"":1556,""slug"":""ea-1556"",""symbol"":""XAUUSD"",""tf"":""D1"",""magic"":15560004,""event"":""FRIDAY_CLOSE_FAILED"",""payload"":{""ticket"":3171451848,""retcode"":0,""reason"":""friday_close""}}"
