cell_key,work_item_id,start,length,exit,year,status,verdict,error,window_admissible
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l5_x18,ffd77416-a673-599f-bcad-08e3ad60cb34,0,5,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l5_x18,22a09495-8259-5bce-a3b9-95eb32714bf6,0,5,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l5_x18,8b031fbc-6aa3-570a-8003-755c25463a69,0,5,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l5_x18,1aa9ef26-055d-5464-ad98-3c8c4160ef44,0,5,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l5_x18,b8d007f4-75ee-5d49-85ed-1b5420b48bf5,0,5,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l5_x18,41841bba-c0e7-5a37-824f-4908fd1a890f,0,5,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l6_x18,92c635da-fb4c-5b76-8e4c-f55397940e62,0,6,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l6_x18,fa98424b-7bdf-51fa-8df4-1930516a00cf,0,6,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l6_x18,af5c736b-56b4-56cc-a6c1-2dfe259df96c,0,6,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l6_x18,8ba491da-9deb-5d6e-bcd3-7e04f9df7f4a,0,6,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l6_x18,4d71a046-3aa8-52c6-8d1f-f990eeca20f3,0,6,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l6_x18,caec9fde-7bd5-53c1-868c-504207a3549a,0,6,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l6_x18,27221378-988d-5ca6-b3f8-81bba47d7482,0,6,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l7_x18,36296526-9311-5525-be97-7b86a02fd5b5,0,7,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l7_x18,51d8e82f-7fbb-5e59-94e2-aeaea7cb7ac0,0,7,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l7_x18,16257c51-50d3-5b81-8fbb-54dd477f329b,0,7,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l7_x18,363d1aba-09e6-5fbf-b02a-d10783c0c7ee,0,7,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l7_x18,df361c2a-29dc-5563-9e88-ddc7684e2da8,0,7,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l7_x18,76c92253-7ac2-5e07-9455-643446bf1b4f,0,7,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l7_x18,80dd8297-06ca-59f6-8bde-685a14e0f47a,0,7,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s0_l8_x18,7a76c348-4ff2-5687-8e95-d73723bd0f22,0,8,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s0_l8_x18,05d9505a-c180-5298-8fb6-86d40c80d8d1,0,8,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s0_l8_x18,2bf932c4-b1cc-56a3-af3d-a6dd0bd4aca3,0,8,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s0_l8_x18,682a627d-e633-5537-8a45-f21b35122c2f,0,8,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s0_l8_x18,543eed49-7020-576e-96a1-6f7bb4a873d1,0,8,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s0_l8_x18,5788b39f-d769-5ca6-9820-fbf9458ff6f9,0,8,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s0_l8_x18,ab5ce850-798b-50ae-bc16-0cc39769937c,0,8,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l2_x18,41d508cb-16bd-50e1-8c9e-d404c29b56e1,1,2,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l2_x18,0cbd0b5f-c7e2-5f04-a55d-7f07bfb9e279,1,2,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l2_x18,9b5a5e42-8920-5967-bbd4-d243c08560cf,1,2,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l2_x18,af50338d-9cbb-58aa-91af-8d91d1ed82d3,1,2,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l2_x18,0b53e252-4755-5f91-b378-5206da3c478e,1,2,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l2_x18,62ed624e-54aa-5cfc-9c4f-2252365cbda6,1,2,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l2_x18,e2c6f129-c23f-5606-a982-a494a399b808,1,2,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l3_x18,3206ede3-3d12-58c3-bb72-ccbe268d59b8,1,3,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l3_x18,9c8286eb-f08b-5225-9524-4beb94dcd6ae,1,3,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l3_x18,a8c34211-cd1b-5cf9-9fc6-f2b1e5602ea9,1,3,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l3_x18,68470964-f130-59bd-a216-325741afbd27,1,3,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l3_x18,4c03fa35-b1d9-558c-86ce-10433b077d49,1,3,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l3_x18,aedfa06c-08e0-5402-a765-059f81447515,1,3,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l3_x18,def7252e-a622-5c4e-b8d8-0d397b147616,1,3,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l4_x18,34fa5c69-9189-5b91-8c01-80f98a548500,1,4,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l4_x18,958a8219-7f60-5991-9a8f-9c82b9d6eb95,1,4,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l4_x18,aba7cdeb-5214-56eb-8b1a-3073d4ab9f84,1,4,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l4_x18,f4cc59db-6d36-5a2a-9fa0-86830d4bfb1b,1,4,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l4_x18,5e66caf3-cdaa-5665-a2a2-38ddd2477c1a,1,4,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l4_x18,95cfee0f-4bec-5857-b80f-98bb34675864,1,4,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l4_x18,ea22604e-c0cf-5f02-ba84-cb0831ec6217,1,4,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l5_x18,6afb67a8-54c9-5609-a840-fe992042d491,1,5,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l5_x18,f46e36f3-eb00-54dc-b784-a7487e247003,1,5,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l5_x18,c055b600-2d4a-5864-aabb-46765ffe83d0,1,5,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l5_x18,adc9ff16-686e-5b00-a0ff-660e078fbb87,1,5,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l5_x18,258958c4-d9af-593b-b310-2ef43299e06c,1,5,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l5_x18,e2cdebc1-47f9-5348-b7e6-a2d6ec5e7888,1,5,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l5_x18,5c2ef61b-ef69-5990-a15b-ea5d180c0970,1,5,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l6_x18,bbad4bc4-e855-557b-b800-095403a42f7f,1,6,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l6_x18,81f8a8f9-7e3b-5186-b4a8-3fff926c7564,1,6,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l6_x18,5a45a9da-5c58-55d8-a8cc-be5546e0ec9d,1,6,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l6_x18,2ed86fbb-2ba5-5bc1-b7f1-e28ed5881746,1,6,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l6_x18,fc8b699f-1529-5468-ad82-8e2ab449bb5e,1,6,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l6_x18,b2ef1bab-3a31-5506-a422-a0ff18c0358c,1,6,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l6_x18,f766d88a-27ba-560b-a24d-aab8fb7aa80d,1,6,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l7_x18,cf269603-27be-50fa-8f39-b1b919413b4b,1,7,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l7_x18,239919c1-2405-5187-9cd2-9958e826e6d7,1,7,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l7_x18,61d308f2-7882-5e2c-8189-ee20827cf448,1,7,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l7_x18,2bda317d-8965-5c3c-8845-a05f7fefe1fb,1,7,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l7_x18,2c0d5a72-e6f3-58c4-bb8e-83b8b858e28a,1,7,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l7_x18,95ad20ef-ffba-5181-9658-9ececee96ed5,1,7,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l7_x18,06a0f9db-e629-5c02-b32a-db6b43e95025,1,7,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s1_l8_x18,7208eb32-ca8d-5b92-9a2c-500d6a305a71,1,8,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s1_l8_x18,d762fb70-ae1d-5b61-8e4a-18210d46e04f,1,8,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s1_l8_x18,5ea0464a-cafc-59d0-8b2b-f1b1eba5c2cc,1,8,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s1_l8_x18,33165039-868d-55b9-9b3b-479345720ca1,1,8,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s1_l8_x18,0846f878-3b4e-5558-b409-5fe36d3d5bf7,1,8,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s1_l8_x18,242ee891-62c8-59c9-a510-7a7a22d0973a,1,8,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s1_l8_x18,80f4a4fd-414c-595f-91f4-99e55cf1b211,1,8,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s2_l2_x18,dd382084-9fd7-53f7-a4b3-d68b41c48144,2,2,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s2_l2_x18,27985707-86b8-51bd-95be-6fe4bba9a98c,2,2,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s2_l2_x18,cc440e16-8798-5c27-a9e5-224dd73166fb,2,2,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s2_l2_x18,30b3b1b7-118c-524e-aa5d-8dd33a66d4bb,2,2,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s2_l2_x18,c0c5a219-2332-5f87-b438-7028f3aa2a57,2,2,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s2_l2_x18,b8c0af06-1d8d-5830-9f20-8ee5bf9a53e2,2,2,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s2_l2_x18,31a8cfb9-92c2-5c20-959d-5ff2cf72431b,2,2,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s2_l3_x18,b687ef08-3a75-5e13-8606-ac5baa2e46d0,2,3,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s2_l3_x18,676efbb2-9c68-5333-b648-0f57a93deade,2,3,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s2_l3_x18,69e54b4d-2455-5fc9-a609-a2458b289bda,2,3,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s2_l3_x18,8ae49524-e28e-5e58-ab48-bd13f4475650,2,3,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s2_l3_x18,dd305567-7858-5a96-9313-fbfcba5341ec,2,3,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s2_l3_x18,098cd4aa-87da-5c8f-bfd2-26fdfbbf481c,2,3,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s2_l3_x18,fbd07738-7d16-577e-be76-03a5e4372ec7,2,3,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s2_l4_x18,532fa556-dc66-592a-9f39-f8313d61c06e,2,4,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s2_l4_x18,31cceeaa-b19d-5f7a-b512-10a80e6a5c7f,2,4,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s2_l4_x18,a41cc279-53bf-57e8-9b03-3d8cc9008811,2,4,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s2_l4_x18,0a8f2606-5a0a-5c51-abdc-39a3aa56bb40,2,4,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s2_l4_x18,f1ee8650-04f5-5781-9bbb-bbdff17a9c4f,2,4,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s2_l4_x18,2927f477-0fb1-5fb8-a08e-b061d5cfc2b1,2,4,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s2_l4_x18,948c6b44-d056-5b1a-9ae3-ece47e183a39,2,4,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s2_l5_x18,58619b12-ec93-56cf-910f-936440be93fc,2,5,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s2_l5_x18,64125ae8-610f-567e-abf4-1107d56f9c69,2,5,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s2_l5_x18,a8e61c7b-c0f2-5254-8403-8edad2dde4d7,2,5,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s2_l5_x18,834cf381-f787-5758-a2d1-d3c823136647,2,5,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s2_l5_x18,cdd76cd1-bb7f-56a7-819d-5c84ab025920,2,5,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s2_l5_x18,11821f83-909f-513e-b2f6-e549f0fc1a1b,2,5,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s2_l5_x18,ce60b26f-d374-51cb-b2f8-faccaa16d80f,2,5,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s2_l6_x18,93af2cf2-0887-5d1d-a8e8-56e97883003c,2,6,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s2_l6_x18,b5758d2a-335c-5b0e-acdd-130f5966172f,2,6,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s2_l6_x18,7011a09c-36c7-5908-a9e3-ba08abc7eeb4,2,6,18,2021,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2022:s2_l6_x18,ad81216a-5d2e-53fd-94a7-650318d5589e,2,6,18,2022,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2023:s2_l6_x18,88c154b8-3e4b-5c31-8d9f-bae321e8f702,2,6,18,2023,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2024:s2_l6_x18,7fb86685-90b1-5ed8-a5ca-b19c7f5f9b0a,2,6,18,2024,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2025:s2_l6_x18,d6716f25-4b43-594d-8c37-991e55fcb6ab,2,6,18,2025,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2019:s2_l7_x18,5d6a6219-fbac-5ac7-95b6-06c403a97a03,2,7,18,2019,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2020:s2_l7_x18,36e9e992-f073-535b-bc4a-2a782dc22344,2,7,18,2020,NOT_ENQUEUED,,,UNDETERMINED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025:2021:s2_l7_x18,49fde2d3-4718-52d0-97ca-2ad05e6f7d84,2,7,18,2021,NOT_ENQUEUED,,,UNDETERMINED
