"name","type","x","y","width","height","anchor","text","tooltip","type_name","anchor_name","corner","corner_name","angle","scope","serial","subwindow"
"QM_QA_row_1_rule","110","24","238","384","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_row_1_value","102","408","219","89","15","6","0,00 % | USD 0,00","0,00 % | USD 0,00","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_2_label","102","24","245","53","15","0","Stop basis","Stop basis","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_2_rule","110","24","264","384","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_row_2_value","102","408","245","163","15","6","Prior range x 1,50 | cap 80,0 pip","Prior range x 1,50 | cap 80,0 pip","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_3_a_chip","110","166","285","44","22","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_row_3_a_label","102","24","281","52","15","0","Execution","Execution","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_3_a_reason","102","24","296","88","15","0","Permission open","Permission open","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_3_a_state","102","207","288","29","15","6","PASS","PASS","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_3_b_chip","110","364","285","44","22","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_row_3_b_label","102","222","281","29","15","0","News","News","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_3_b_reason","102","222","296","88","15","0","Native MT5 clear","Native MT5 clear","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_row_3_b_state","102","405","288","29","15","6","PASS","PASS","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_section_0","102","24","175","23","13","0","RISK","RISK","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_section_3","102","24","267","63","13","0","FILTER GATE","FILTER GATE","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_state_accent","110","20","76","3","72","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_state_bg","110","20","76","392","72","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_state_headline","102","32","80","156","20","0","WAITING FOR TRIGGER","WAITING FOR TRIGGER","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_state_meta","102","32","133","132","13","0","DESIGN QA | EURUSD | D1","DESIGN QA | EURUSD | D1","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_state_next","102","32","117","240","15","0","Next event: trigger, expiry or D1 re-evaluation","Next event: trigger, expiry or D1 re-evaluation","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_state_reason","102","32","101","213","15","0","Pending stop armed; no additional entry","Pending stop armed; no additional entry","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_strategy","102","24","56","201","17","0","OHLC Daily Squeeze Reversal | D1","OHLC Daily Squeeze Reversal | D1","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_tab_overview","103","20","151","192","22","0","Overview","Risk, real admission gates, live exposure and today/week","OBJ_BUTTON","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_tab_performance","103","220","151","192","22","0","Performance","All cached performance rows for this EA","OBJ_BUTTON","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_trade_999999001_entry_label","102","1115","131","100","13","6","Buy Trigger 1,16550","Buy Trigger 1,16550","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","622","0"
"QM_QA_trade_999999001_entry_line","2","","","","","","","Buy Trigger 1,16550","OBJ_TREND","N/A","","N/A","0","time_price","622","0"
"QM_QA_trade_999999001_sl_label","102","1115","170","53","13","6","SL 1,15750","SL 1,15750","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","622","0"
"QM_QA_trade_999999001_sl_line","2","","","","","","","SL 1,15750","OBJ_TREND","N/A","","N/A","0","time_price","622","0"
"QM_QA_trade_999999001_tp_label","102","1115","104","54","13","6","TP 1,17150","TP 1,17150","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","622","0"
"QM_QA_trade_999999001_tp_line","2","","","","","","","TP 1,17150","OBJ_TREND","N/A","","N/A","0","time_price","622","0"
"QM_QA_view","103","336","15","76","24","0","Full","OHLC Daily Squeeze Reversal | D1
View: FULL > COMPACT > MINIMAL. Presentation only.","OBJ_BUTTON","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","622","0"
"QM_QA_word_mechanica","102","77","16","93","25","0","Mechanica","Mechanica","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
"QM_QA_word_quant","102","24","16","53","25","0","Quant","Quant","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","622","0"
