ea_id,ea_id_raw,projection_class,card_status,registry_status,pipeline_phase_card,pipeline_highest_gate,in_seeds,in_capproved,in_dapproved,in_ea_docs,in_draft,in_review,in_rejected,in_recovery,in_blocked,in_dup,in_registry,in_pipeline,vault_node,vault_node_slug,vault_generated,card_mtime,vault_node_mtime
10045,QM5_10045,REJECTED,APPROVED,active,G0,Q04,0,0,1,0,0,0,1,0,0,0,1,1,0,,0,1787491525,
10046,QM5_10046,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10047,QM5_10047,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10048,QM5_10048,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10049,QM5_10049,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
1005,1005,DRAFT,APPROVED,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
10050,QM5_10050,REJECTED,APPROVED,active,G0,Q02,0,0,1,0,0,0,1,0,0,0,1,1,0,,0,1787491525,
10051,QM5_10051,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10052,QM5_10052,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10053,QM5_10053,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10054,QM5_10054,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10055,QM5_10055,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10056,QM5_10056,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10057,QM5_10057,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10058,QM5_10058,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10059,QM5_10059,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
1006,QM5_1006,DRAFT,"APPROVED                              # G0 APPROVED for all 5 SRC01 Davey cards (commit 4568297ef, QUA-276) + QUA-1592 PDF-Intake corroboration (QUA-1596)",active,,Q04,1,0,0,1,0,0,0,0,0,0,1,1,0,,0,,
10060,QM5_10060,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10061,QM5_10061,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10062,QM5_10062,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10063,QM5_10063,CANONICAL,APPROVED,active,G0,,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,1787491525,
10064,QM5_10064,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10065,QM5_10065,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10066,QM5_10066,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10067,QM5_10067,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10068,QM5_10068,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10069,QM5_10069,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787510951,
10070,QM5_10070,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10071,QM5_10071,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10072,QM5_10072,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10073,QM5_10073,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10074,QM5_10074,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10075,QM5_10075,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10076,QM5_10076,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10077,QM5_10077,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10078,QM5_10078,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10079,QM5_10079,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10080,QM5_10080,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10081,QM5_10081,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
10082,QM5_10082,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10083,QM5_10083,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10084,QM5_10084,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10085,QM5_10085,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10086,QM5_10086,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10087,QM5_10087,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10088,QM5_10088,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491525,
10089,QM5_10089,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491525,
1009,1009,DRAFT,APPROVED,active,,,1,0,0,0,0,0,0,0,0,0,1,0,1,lien-fade-double-zeros,0,,1787253314
10090,QM5_10090,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10091,QM5_10091,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10092,QM5_10092,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787493154,
10093,QM5_10093,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787493154,
10094,QM5_10094,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787493154,
10095,QM5_10095,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787493154,
10096,QM5_10096,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787493154,
10097,QM5_10097,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10098,QM5_10098,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10099,QM5_10099,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
1010,1010,DRAFT,APPROVED,active,,,1,0,0,0,0,0,0,0,0,0,1,0,1,lien-waiting-deal,0,,1787253314
10100,QM5_10100,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10101,QM5_10101,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10102,QM5_10102,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10103,QM5_10103,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10104,QM5_10104,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10105,QM5_10105,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10106,QM5_10106,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10107,QM5_10107,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10108,QM5_10108,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10109,QM5_10109,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
1011,1011,DRAFT,APPROVED,active,,,1,0,0,0,0,0,0,0,0,0,1,0,1,lien-inside-day-breakout,0,,1787253314
10110,QM5_10110,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10111,QM5_10111,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10112,QM5_10112,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10113,QM5_10113,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10114,QM5_10114,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10115,QM5_10115,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10116,QM5_10116,CANONICAL,APPROVED,active,G0,Q08,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787510951,
10117,QM5_10117,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10118,QM5_10118,CANONICAL,APPROVED,active,G0,Q05,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10119,QM5_10119,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
1012,1012,DRAFT,APPROVED,active,,Q02,1,0,0,1,0,0,0,0,0,0,1,1,1,lien-fader,0,,1787253314
10120,QM5_10120,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10121,QM5_10121,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10122,QM5_10122,CANONICAL,APPROVED,active,G0,Q08,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10123,QM5_10123,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10124,QM5_10124,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10125,QM5_10125,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10126,QM5_10126,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10127,QM5_10127,CANONICAL,APPROVED,active,G0,Q09_PORTFOLIO,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10128,QM5_10128,CANONICAL,APPROVED,active,G0,Q14,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10129,QM5_10129,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
1013,1013,DRAFT,APPROVED,active,,Q02,1,0,0,1,0,0,0,0,0,0,1,1,1,lien-20day-breakout,0,,1787253315
10130,QM5_10130,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10131,QM5_10131,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10132,QM5_10132,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10133,QM5_10133,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10134,QM5_10134,CANONICAL,APPROVED,active,G0,Q08,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10135,QM5_10135,CANONICAL,APPROVED,active,G0,Q08,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10136,QM5_10136,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10137,QM5_10137,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10138,QM5_10138,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10139,QM5_10139,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
1014,1014,DRAFT,APPROVED,active,,Q02,1,0,0,0,0,0,0,0,0,0,1,1,1,lien-channels,0,,1787253315
10140,QM5_10140,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10141,QM5_10141,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10142,QM5_10142,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10143,QM5_10143,CANONICAL,APPROVED,active,G0,Q07,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10144,QM5_10144,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10145,QM5_10145,CANONICAL,APPROVED,active,G0,Q14,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10146,QM5_10146,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10147,QM5_10147,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10148,QM5_10148,CANONICAL,APPROVED,active,G0,Q10_NEWS,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10149,QM5_10149,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
1015,1015,RETIRED,APPROVED,retired,,,1,0,0,0,0,0,0,0,0,0,1,0,1,lien-perfect-order,0,,1787253315
10150,QM5_10150,CANONICAL,APPROVED,active,G0,Q08,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10151,QM5_10151,CANONICAL,APPROVED,active,G0,Q04,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10152,QM5_10152,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10153,QM5_10153,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10154,QM5_10154,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10155,QM5_10155,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10156,QM5_10156,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10157,QM5_10157,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10158,QM5_10158,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10159,QM5_10159,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
1016,1016,RETIRED,APPROVED,retired,,,1,0,0,0,0,0,0,0,0,0,1,0,1,lien-carry-trade,0,,1787253315
10160,QM5_10160,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10161,QM5_10161,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10162,QM5_10162,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10163,QM5_10163,CANONICAL,APPROVED,active,G0,Q08,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10164,QM5_10164,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10165,QM5_10165,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10166,QM5_10166,CANONICAL,APPROVED,active,G0,Q07,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10167,QM5_10167,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10168,QM5_10168,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10169,QM5_10169,CANONICAL,APPROVED,active,G0,Q02,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
1017,1017,DRAFT,APPROVED,active,,Q04,1,0,0,0,0,0,0,0,0,0,1,1,1,chan-pairs-stat-arb,0,,1787253315
10170,QM5_10170,CANONICAL,APPROVED,active,G0,Q08,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10171,QM5_10171,CANONICAL,APPROVED,active,G0,Q06,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491526,
10172,QM5_10172,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10173,QM5_10173,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10174,QM5_10174,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10175,QM5_10175,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10176,QM5_10176,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10177,QM5_10177,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10178,QM5_10178,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10179,QM5_10179,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
1018,1018,RETIRED,,retired,,,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,
10180,QM5_10180,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10181,QM5_10181,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10182,QM5_10182,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10183,QM5_10183,CANONICAL,APPROVED,active,G0,Q14,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491526,
10184,QM5_10184,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491527,
10185,QM5_10185,CANONICAL,APPROVED,active,G0,Q08,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,1787491527,
10186,QM5_10186,CANONICAL,APPROVED,active,G0,,0,0,1,1,0,0,0,0,0,0,1,0,0,,0,1787491527,
10187,QM5_10187,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491527,
10188,QM5_10188,CANONICAL,APPROVED,active,G0,,0,0,1,1,0,0,0,0,0,0,1,0,0,,0,1787491527,
10189,QM5_10189,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491527,
1019,1019,RETIRED,,retired,,,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,
10190,QM5_10190,REJECTED,,retired,,,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,,
10191,QM5_10191,CANONICAL,APPROVED,active,G0,Q02,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491527,
10192,QM5_10192,CANONICAL,APPROVED,active,G0,Q05,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491527,
10193,QM5_10193,CANONICAL,APPROVED,active,G0,Q04,0,0,1,1,0,0,0,0,0,0,1,1,0,,0,1787491527,
