symbol,copyrates_result,export_last_bar_utc,hcc_2025_bytes,hcc_2026_bytes,last_archived_tick_utc,diagnosis,next_read_only_source,quiet_window_disposition
EURGBP.DWX,OK,2025-12-31T21:58:00Z,20699082,34233,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
EURJPY.DWX,ERR_HISTORY_NOT_FOUND,,20793282,7015872,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
EURNZD.DWX,OK,2025-12-31T21:58:00Z,20774691,29319,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
EURUSD.DWX,ERR_HISTORY_NOT_FOUND,,20571204,5741052,2026-04-05T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
GBPAUD.DWX,OK,2025-12-31T21:59:00Z,20837562,29130,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
GBPCAD.DWX,ERR_HISTORY_NOT_FOUND,,20825811,7001277,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
GBPCHF.DWX,OK,2025-12-31T21:58:00Z,20869380,28374,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
GBPJPY.DWX,OK,2025-12-31T21:59:00Z,20866122,32343,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
GBPNZD.DWX,ERR_HISTORY_NOT_FOUND,,20806191,6994146,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
GBPUSD.DWX,ERR_HISTORY_NOT_FOUND,,20656842,7011213,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
GDAXI.DWX,ERR_HISTORY_NOT_FOUND,,17302263,5540409,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
NDX.DWX,ERR_HISTORY_NOT_FOUND,,20497086,10808301,2026-07-12T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
NZDCAD.DWX,OK,2025-12-31T21:58:00Z,20607171,28941,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
NZDCHF.DWX,OK,2025-12-31T21:58:00Z,20679291,28941,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
NZDJPY.DWX,OK,2025-12-31T21:58:00Z,20689542,29130,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
NZDUSD.DWX,OK,2025-12-31T21:58:00Z,20652282,34044,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
SP500.DWX,ERR_HISTORY_NOT_FOUND,,20921928,6773757,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
UK100.DWX,OK,2025-12-31T12:49:00Z,20163903,30075,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
USDCAD.DWX,OK,2025-12-31T21:59:00Z,20776782,35367,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
USDCHF.DWX,OK,2025-12-31T21:58:00Z,20607162,33666,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
USDJPY.DWX,ERR_HISTORY_NOT_FOUND,,20681142,6991635,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
WS30.DWX,ERR_HISTORY_NOT_FOUND,,20991468,6693171,2026-04-23T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
XAGUSD.DWX,OK,2025-12-31T21:58:00Z,21068268,36312,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
XAUUSD.DWX,OK,2025-12-31T21:58:00Z,21097848,37257,2026-04-24T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
XNGUSD.DWX,ERR_HISTORY_NOT_FOUND,,17878548,5893767,2026-04-24T00:00:00Z,CopyRates failed first weekly chunk with error 4401 despite archived ticks,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,retry reproduced failure
XTIUSD.DWX,OK,2025-12-31T21:59:00Z,20904948,35556,2026-04-05T00:00:00Z,CopyRates exported only materialized 2025 M1 bars,T1 CopyTicksRange aggregated to M1 for fixed 2025-10-01/2026-04-01 UTC window,not sufficient
