ea_id,ea_slug,symbol_slot,symbol,magic,reserved_at,reserved_by,status
10296,cinar-cmf,24,NZDCHF.DWX,102960024,2026-06-12,Development,active
10296,cinar-cmf,25,NZDJPY.DWX,102960025,2026-06-12,Development,active
10296,cinar-cmf,26,NZDUSD.DWX,102960026,2026-06-12,Development,active
10296,cinar-cmf,27,SP500.DWX,102960027,2026-06-12,Development,active
10296,cinar-cmf,28,UK100.DWX,102960028,2026-06-12,Development,active
10296,cinar-cmf,29,USDCAD.DWX,102960029,2026-06-12,Development,active
10296,cinar-cmf,30,USDCHF.DWX,102960030,2026-06-12,Development,active
10296,cinar-cmf,31,USDJPY.DWX,102960031,2026-06-12,Development,active
10296,cinar-cmf,32,WS30.DWX,102960032,2026-06-12,Development,active
10296,cinar-cmf,33,XAGUSD.DWX,102960033,2026-06-12,Development,active
10296,cinar-cmf,34,XAUUSD.DWX,102960034,2026-06-12,Development,active
10296,cinar-cmf,35,XNGUSD.DWX,102960035,2026-06-12,Development,active
10296,cinar-cmf,36,XTIUSD.DWX,102960036,2026-06-12,Development,active
10297,cinar-mfi,0,AUDCAD.DWX,102970000,2026-06-12,Development,active
10297,cinar-mfi,1,AUDCHF.DWX,102970001,2026-06-12,Development,active
10297,cinar-mfi,2,AUDJPY.DWX,102970002,2026-06-12,Development,active
10297,cinar-mfi,3,AUDNZD.DWX,102970003,2026-06-12,Development,active
10297,cinar-mfi,4,AUDUSD.DWX,102970004,2026-06-12,Development,active
10297,cinar-mfi,5,CADCHF.DWX,102970005,2026-06-12,Development,active
10297,cinar-mfi,6,CADJPY.DWX,102970006,2026-06-12,Development,active
10297,cinar-mfi,7,CHFJPY.DWX,102970007,2026-06-12,Development,active
10297,cinar-mfi,8,EURAUD.DWX,102970008,2026-06-12,Development,active
10297,cinar-mfi,9,EURCAD.DWX,102970009,2026-06-12,Development,active
10297,cinar-mfi,10,EURCHF.DWX,102970010,2026-06-12,Development,active
10297,cinar-mfi,11,EURGBP.DWX,102970011,2026-06-12,Development,active
10297,cinar-mfi,12,EURJPY.DWX,102970012,2026-06-12,Development,active
10297,cinar-mfi,13,EURNZD.DWX,102970013,2026-06-12,Development,active
10297,cinar-mfi,14,EURUSD.DWX,102970014,2026-06-12,Development,active
10297,cinar-mfi,15,GBPAUD.DWX,102970015,2026-06-12,Development,active
10297,cinar-mfi,16,GBPCAD.DWX,102970016,2026-06-12,Development,active
10297,cinar-mfi,17,GBPCHF.DWX,102970017,2026-06-12,Development,active
10297,cinar-mfi,18,GBPJPY.DWX,102970018,2026-06-12,Development,active
10297,cinar-mfi,19,GBPNZD.DWX,102970019,2026-06-12,Development,active
10297,cinar-mfi,20,GBPUSD.DWX,102970020,2026-06-12,Development,active
10297,cinar-mfi,21,GDAXI.DWX,102970021,2026-06-12,Development,active
10297,cinar-mfi,22,NDX.DWX,102970022,2026-06-12,Development,active
10297,cinar-mfi,23,NZDCAD.DWX,102970023,2026-06-12,Development,active
10297,cinar-mfi,24,NZDCHF.DWX,102970024,2026-06-12,Development,active
10297,cinar-mfi,25,NZDJPY.DWX,102970025,2026-06-12,Development,active
10297,cinar-mfi,26,NZDUSD.DWX,102970026,2026-06-12,Development,active
10297,cinar-mfi,27,SP500.DWX,102970027,2026-06-12,Development,active
10297,cinar-mfi,28,UK100.DWX,102970028,2026-06-12,Development,active
10297,cinar-mfi,29,USDCAD.DWX,102970029,2026-06-12,Development,active
10297,cinar-mfi,30,USDCHF.DWX,102970030,2026-06-12,Development,active
10297,cinar-mfi,31,USDJPY.DWX,102970031,2026-06-12,Development,active
10297,cinar-mfi,32,WS30.DWX,102970032,2026-06-12,Development,active
10297,cinar-mfi,33,XAGUSD.DWX,102970033,2026-06-12,Development,active
10297,cinar-mfi,34,XAUUSD.DWX,102970034,2026-06-12,Development,active
10297,cinar-mfi,35,XNGUSD.DWX,102970035,2026-06-12,Development,active
10297,cinar-mfi,36,XTIUSD.DWX,102970036,2026-06-12,Development,active
11070,persistent-anti,0,EURUSD.DWX,110700000,2026-06-07,Development,active
11070,persistent-anti,1,GBPUSD.DWX,110700001,2026-06-07,Development,active
11070,persistent-anti,2,USDJPY.DWX,110700002,2026-06-07,Development,active
11070,persistent-anti,3,USDCAD.DWX,110700003,2026-06-07,Development,active
11071,spike-reversal,0,USDCAD.DWX,110710000,2026-06-07,Development,active
11071,spike-reversal,1,EURUSD.DWX,110710001,2026-06-07,Development,active
11071,spike-reversal,2,GBPUSD.DWX,110710002,2026-06-07,Development,active
11071,spike-reversal,3,USDJPY.DWX,110710003,2026-06-07,Development,active
11081,schaff-cycle,0,EURUSD.DWX,110810000,2026-06-07,Development,active
11081,schaff-cycle,1,GBPUSD.DWX,110810001,2026-06-07,Development,active
11081,schaff-cycle,2,USDJPY.DWX,110810002,2026-06-07,Development,active
11081,schaff-cycle,3,XAUUSD.DWX,110810003,2026-06-07,Development,active
11179,ft001-ema-ha,0,EURUSD.DWX,111790000,2026-06-07,Development,active
11179,ft001-ema-ha,1,GBPUSD.DWX,111790001,2026-06-07,Development,active
11179,ft001-ema-ha,2,USDJPY.DWX,111790002,2026-06-07,Development,active
11179,ft001-ema-ha,3,XAUUSD.DWX,111790003,2026-06-07,Development,active
10586,mql5-cycleper,0,USDJPY.DWX,105860000,2026-05-29,Development,active
10586,mql5-cycleper,1,EURUSD.DWX,105860001,2026-05-29,Development,active
10586,mql5-cycleper,2,GBPJPY.DWX,105860002,2026-05-29,Development,active
10586,mql5-cycleper,3,XAUUSD.DWX,105860003,2026-05-29,Development,active
10853,tv-trendpulse-obv,0,NDX.DWX,108530000,2026-06-06,Development,active
10853,tv-trendpulse-obv,1,WS30.DWX,108530001,2026-06-06,Development,active
10853,tv-trendpulse-obv,2,GDAXI.DWX,108530002,2026-06-06,Development,active
10853,tv-trendpulse-obv,3,XAUUSD.DWX,108530003,2026-06-06,Development,active
10853,tv-trendpulse-obv,4,EURUSD.DWX,108530004,2026-06-06,Development,active
10924,grimes-mac-spike,0,SP500.DWX,109240000,2026-06-06,Development,active
10924,grimes-mac-spike,1,NDX.DWX,109240001,2026-06-06,Development,active
10924,grimes-mac-spike,2,GDAXI.DWX,109240002,2026-06-06,Development,active
10924,grimes-mac-spike,3,XAUUSD.DWX,109240003,2026-06-06,Development,active
1255,zarattini-qqq-orb,0,NDX.DWX,12550000,2026-05-26,Development,active
1247,fuertes-comm-tsmom,0,XAUUSD.DWX,12470000,2026-05-26,Development,active
1247,fuertes-comm-tsmom,1,XAGUSD.DWX,12470001,2026-05-26,Development,active
1247,fuertes-comm-tsmom,2,XTIUSD.DWX,12470002,2026-05-26,Development,active
1246,miffre-comm-mom,0,XAUUSD.DWX,12460000,2026-05-26,Development,active
1246,miffre-comm-mom,1,XAGUSD.DWX,12460001,2026-05-26,Development,active
1246,miffre-comm-mom,2,XTIUSD.DWX,12460002,2026-05-26,Development,active
1231,carver-pca-alpha,0,GDAXI.DWX,12310000,2026-05-26,Development,active
1231,carver-pca-alpha,1,NDX.DWX,12310001,2026-05-26,Development,active
1231,carver-pca-alpha,2,WS30.DWX,12310002,2026-05-26,Development,active
1231,carver-pca-alpha,3,UK100.DWX,12310003,2026-05-26,Development,active
1231,carver-pca-alpha,4,FRA40.DWX,12310004,2026-05-26,Development,retired
1231,carver-pca-alpha,5,EURUSD.DWX,12310005,2026-05-26,Development,active
1231,carver-pca-alpha,6,GBPUSD.DWX,12310006,2026-05-26,Development,active
1231,carver-pca-alpha,7,AUDUSD.DWX,12310007,2026-05-26,Development,active
1231,carver-pca-alpha,8,USDJPY.DWX,12310008,2026-05-26,Development,active
1231,carver-pca-alpha,9,USDCHF.DWX,12310009,2026-05-26,Development,active
1231,carver-pca-alpha,10,USDCAD.DWX,12310010,2026-05-26,Development,active
1234,ict-golden-bullet,0,EURUSD.DWX,12340000,2026-05-26,Development,active
1234,ict-golden-bullet,1,GBPUSD.DWX,12340001,2026-05-26,Development,active
1234,ict-golden-bullet,2,USDJPY.DWX,12340002,2026-05-26,Development,active
1234,ict-golden-bullet,3,AUDUSD.DWX,12340003,2026-05-26,Development,active
1234,ict-golden-bullet,4,USDCAD.DWX,12340004,2026-05-26,Development,active
1234,ict-golden-bullet,5,NZDUSD.DWX,12340005,2026-05-26,Development,active
1234,ict-golden-bullet,6,XAUUSD.DWX,12340006,2026-05-26,Development,active
1234,ict-golden-bullet,7,XTIUSD.DWX,12340007,2026-05-26,Development,active
1234,ict-golden-bullet,8,NDX.DWX,12340008,2026-05-26,Development,active
1234,ict-golden-bullet,9,WS30.DWX,12340009,2026-05-26,Development,active
1234,ict-golden-bullet,10,GDAXI.DWX,12340010,2026-05-26,Development,active
1234,ict-golden-bullet,11,UK100.DWX,12340011,2026-05-26,Development,active
1232,carver-fastmom-cost,0,EURUSD.DWX,12320000,2026-05-26,Development,active
1232,carver-fastmom-cost,1,GBPUSD.DWX,12320001,2026-05-26,Development,active
1232,carver-fastmom-cost,2,USDJPY.DWX,12320002,2026-05-26,Development,active
1232,carver-fastmom-cost,3,AUDUSD.DWX,12320003,2026-05-26,Development,active
1232,carver-fastmom-cost,4,USDCAD.DWX,12320004,2026-05-26,Development,active
1232,carver-fastmom-cost,5,NZDUSD.DWX,12320005,2026-05-26,Development,active
1232,carver-fastmom-cost,6,GDAXI.DWX,12320006,2026-05-26,Development,active
1232,carver-fastmom-cost,7,UK100.DWX,12320007,2026-05-26,Development,active
1232,carver-fastmom-cost,8,NDX.DWX,12320008,2026-05-26,Development,active
1232,carver-fastmom-cost,9,WS30.DWX,12320009,2026-05-26,Development,active
1232,carver-fastmom-cost,10,XAUUSD.DWX,12320010,2026-05-26,Development,active
1232,carver-fastmom-cost,11,XTIUSD.DWX,12320011,2026-05-26,Development,active
1226,psaradellis-oil-channel,0,XTIUSD.DWX,12260000,2026-05-26,Development,active
1224,white-okunev-fx-xmom,0,EURUSD.DWX,12240000,2026-05-26,Development,active
1224,white-okunev-fx-xmom,1,GBPUSD.DWX,12240001,2026-05-26,Development,active
1224,white-okunev-fx-xmom,2,AUDUSD.DWX,12240002,2026-05-26,Development,active
1224,white-okunev-fx-xmom,3,NZDUSD.DWX,12240003,2026-05-26,Development,active
1224,white-okunev-fx-xmom,4,USDCAD.DWX,12240004,2026-05-26,Development,active
1224,white-okunev-fx-xmom,5,USDCHF.DWX,12240005,2026-05-26,Development,active
1224,white-okunev-fx-xmom,6,USDJPY.DWX,12240006,2026-05-26,Development,active
1216,bell-gold-fix-overnight,0,XAUUSD.DWX,12160000,2026-05-26,Development,active
1214,vidal-holiday-effect,0,SP500.DWX,12140000,2026-05-26,Development,active
1214,vidal-holiday-effect,1,NDX.DWX,12140001,2026-05-26,Development,active
1214,vidal-holiday-effect,2,WS30.DWX,12140002,2026-05-26,Development,active
1214,vidal-holiday-effect,3,GDAXI.DWX,12140003,2026-05-26,Development,active
1207,bbadx-index-skew,0,GDAXI.DWX,12070000,2026-05-26,Development,active
1207,bbadx-index-skew,1,UK100.DWX,12070001,2026-05-26,Development,active
1207,bbadx-index-skew,2,JPN225.DWX,12070002,2026-05-26,Development,active
1196,qp-fx-meanrev-linear,0,EURUSD.DWX,11960000,2026-05-26,Development,active
1196,qp-fx-meanrev-linear,1,GBPUSD.DWX,11960001,2026-05-26,Development,active
1196,qp-fx-meanrev-linear,2,USDJPY.DWX,11960002,2026-05-26,Development,active
1196,qp-fx-meanrev-linear,3,AUDUSD.DWX,11960003,2026-05-26,Development,active
1196,qp-fx-meanrev-linear,4,USDCAD.DWX,11960004,2026-05-26,Development,active
1196,qp-fx-meanrev-linear,5,USDCHF.DWX,11960005,2026-05-26,Development,active
1200,qp-sp500-max10-fade,0,SP500.DWX,12000000,2026-05-26,Development,active
1167,qp-inflation-gold-bond,0,XAUUSD.DWX,11670000,2026-05-26,Development,active
1152,unger-crude-round-number-tf,0,XTIUSD.DWX,11520000,2026-05-26,Development,active
1169,qp-comm-corr-mom,0,XAUUSD.DWX,11690000,2026-05-26,Development,active
1169,qp-comm-corr-mom,1,XAGUSD.DWX,11690001,2026-05-26,Development,active
1169,qp-comm-corr-mom,2,XTIUSD.DWX,11690002,2026-05-26,Development,active
1169,qp-comm-corr-mom,3,XNGUSD.DWX,11690003,2026-05-26,Development,active
1153,unger-nasdaq-priorclose-expansion,0,NDX.DWX,11530000,2026-05-26,Development,active
1153,unger-nasdaq-priorclose-expansion,1,WS30.DWX,11530001,2026-05-26,Development,active
1153,unger-nasdaq-priorclose-expansion,2,SP500.DWX,11530002,2026-05-26,Development,active
1150,unger-gold-session-breakout-tf,0,XAUUSD.DWX,11500000,2026-05-26,Development,active
1151,unger-gold-keltner-meanrev,0,XAUUSD.DWX,11510000,2026-05-26,Development,active
1136,qp-option-exp-sp500,0,SP500.DWX,11360000,2026-05-26,Development,active
1128,daniel-momentum-crash-vol-scale,0,NDX.DWX,11280000,2026-05-26,Development,active
1128,daniel-momentum-crash-vol-scale,1,GDAXI.DWX,11280001,2026-05-26,Development,active
1128,daniel-momentum-crash-vol-scale,2,WS30.DWX,11280002,2026-05-26,Development,active
1128,daniel-momentum-crash-vol-scale,3,UK100.DWX,11280003,2026-05-26,Development,active
1128,daniel-momentum-crash-vol-scale,4,EURUSD.DWX,11280004,2026-05-26,Development,active
1128,daniel-momentum-crash-vol-scale,5,XAUUSD.DWX,11280005,2026-05-26,Development,active
1115,qp-lunch-sp500,0,SP500.DWX,11150000,2026-05-26,Development,active
1111,qp-fx-momentum-12m,0,EURUSD.DWX,11110000,2026-05-26,Development,active
1111,qp-fx-momentum-12m,1,GBPUSD.DWX,11110001,2026-05-26,Development,active
1111,qp-fx-momentum-12m,2,AUDUSD.DWX,11110002,2026-05-26,Development,active
1111,qp-fx-momentum-12m,3,NZDUSD.DWX,11110003,2026-05-26,Development,active
1111,qp-fx-momentum-12m,4,USDJPY.DWX,11110004,2026-05-26,Development,active
1111,qp-fx-momentum-12m,5,USDCHF.DWX,11110005,2026-05-26,Development,active
1111,qp-fx-momentum-12m,6,USDCAD.DWX,11110006,2026-05-26,Development,active
1105,qp-country-reversal,0,NDX.DWX,11050000,2026-05-26,Development,active
1105,qp-country-reversal,1,WS30.DWX,11050001,2026-05-26,Development,active
1105,qp-country-reversal,2,GDAXI.DWX,11050002,2026-05-26,Development,active
1105,qp-country-reversal,3,UK100.DWX,11050003,2026-05-26,Development,active
1105,qp-country-reversal,4,SP500.DWX,11050004,2026-05-26,Development,active
1085,chan-plat-gold-seasonal,0,XAUUSD.DWX,10850000,2026-05-26,Development,active
1085,chan-plat-gold-seasonal,1,XAGUSD.DWX,10850001,2026-05-26,Development,active
1083,chan-gld-gdx-z2,0,XAUUSD.DWX,10830000,2026-05-26,Development,active
1083,chan-gld-gdx-z2,1,XAGUSD.DWX,10830001,2026-05-26,Development,active
1083,chan-gld-gdx-z2,2,XTIUSD.DWX,10830002,2026-05-26,Development,active
10003,ff-xaron-morning-breakout,0,EURUSD.DWX,100030000,2026-05-19,Development,active
10003,ff-xaron-morning-breakout,1,GBPJPY.DWX,100030001,2026-05-19,Development,active
10003,ff-xaron-morning-breakout,2,GBPUSD.DWX,100030002,2026-05-19,Development,active
10003,ff-xaron-morning-breakout,3,USDJPY.DWX,100030003,2026-05-19,Development,active
10360,et-donch-decay,0,EURUSD.DWX,103600000,2026-05-25,Development,active
10360,et-donch-decay,1,GBPUSD.DWX,103600001,2026-05-25,Development,active
10360,et-donch-decay,2,XAUUSD.DWX,103600002,2026-05-25,Development,active
10360,et-donch-decay,3,GDAXI.DWX,103600003,2026-05-25,Development,active
10360,et-donch-decay,4,SP500.DWX,103600004,2026-05-25,Development,active
10398,et-hershey-rocket,0,SP500.DWX,103980000,2026-05-25,Development,active
10398,et-hershey-rocket,1,NDX.DWX,103980001,2026-05-25,Development,active
10398,et-hershey-rocket,2,WS30.DWX,103980002,2026-05-25,Development,active
10398,et-hershey-rocket,3,GDAXI.DWX,103980003,2026-05-25,Development,active
10035,rw-stat-arb,0,SP500.DWX,100350000,2026-05-19,Development,active
10035,rw-stat-arb,1,NDX.DWX,100350001,2026-05-19,Development,active
10035,rw-stat-arb,2,WS30.DWX,100350002,2026-05-19,Development,active
10035,rw-stat-arb,3,GDAXI.DWX,100350003,2026-05-19,Development,active
10035,rw-stat-arb,4,UK100.DWX,100350004,2026-05-19,Development,active
10048,ff-toby-inside-d1,0,EURUSD.DWX,100480000,2026-05-19,Development,active
10048,ff-toby-inside-d1,1,GBPUSD.DWX,100480001,2026-05-19,Development,active
10048,ff-toby-inside-d1,2,USDJPY.DWX,100480002,2026-05-19,Development,active
10048,ff-toby-inside-d1,3,EURJPY.DWX,100480003,2026-05-19,Development,active
1001,breakout-atr,0,EURUSD.DWX,10010000,2026-04-27,CTO,active
1001,breakout-atr,1,AUDCHF.DWX,10010001,2026-05-01,Board-Advisor,active
1001,breakout-atr,2,AUDJPY.DWX,10010002,2026-05-01,Board-Advisor,active
1001,breakout-atr,3,AUDNZD.DWX,10010003,2026-05-01,Board-Advisor,active
1001,breakout-atr,4,AUDUSD.DWX,10010004,2026-05-01,Board-Advisor,active
1001,breakout-atr,5,CADCHF.DWX,10010005,2026-05-01,Board-Advisor,active
10255,tv-postopen-atr,0,GDAXI.DWX,102550000,2026-05-24,Development,active
10255,tv-postopen-atr,1,NDX.DWX,102550001,2026-05-24,Development,active
10255,tv-postopen-atr,2,WS30.DWX,102550002,2026-05-24,Development,active
10255,tv-postopen-atr,3,EURUSD.DWX,102550003,2026-05-24,Development,active
10255,tv-postopen-atr,4,GBPUSD.DWX,102550004,2026-05-24,Development,active
10257,tv-sma-rsi-macd,0,EURUSD.DWX,102570000,2026-05-24,Development,active
10257,tv-sma-rsi-macd,1,GBPUSD.DWX,102570001,2026-05-24,Development,active
10257,tv-sma-rsi-macd,2,XAUUSD.DWX,102570002,2026-05-24,Development,active
10257,tv-sma-rsi-macd,3,GDAXI.DWX,102570003,2026-05-24,Development,active
10257,tv-sma-rsi-macd,4,NDX.DWX,102570004,2026-05-24,Development,active
10258,tv-rsi-macd-mtf,0,NDX.DWX,102580000,2026-05-24,Development,active
10258,tv-rsi-macd-mtf,1,WS30.DWX,102580001,2026-05-24,Development,active
10258,tv-rsi-macd-mtf,2,GDAXI.DWX,102580002,2026-05-24,Development,active
10258,tv-rsi-macd-mtf,3,XAUUSD.DWX,102580003,2026-05-24,Development,active
10258,tv-rsi-macd-mtf,4,EURUSD.DWX,102580004,2026-05-24,Development,active
1001,breakout-atr,6,CADJPY.DWX,10010006,2026-05-01,Board-Advisor,active
1001,breakout-atr,7,CHFJPY.DWX,10010007,2026-05-01,Board-Advisor,active
1001,breakout-atr,8,EURAUD.DWX,10010008,2026-05-01,Board-Advisor,active
1001,breakout-atr,9,EURCAD.DWX,10010009,2026-05-01,Board-Advisor,active
1001,breakout-atr,10,EURCHF.DWX,10010010,2026-05-01,Board-Advisor,active
1001,breakout-atr,11,EURGBP.DWX,10010011,2026-05-01,Board-Advisor,active
1001,breakout-atr,12,EURJPY.DWX,10010012,2026-05-01,Board-Advisor,active
1001,breakout-atr,13,EURNZD.DWX,10010013,2026-05-01,Board-Advisor,active
1001,breakout-atr,15,GBPAUD.DWX,10010015,2026-05-01,Board-Advisor,active
1001,breakout-atr,16,GBPCAD.DWX,10010016,2026-05-01,Board-Advisor,active
1001,breakout-atr,17,GBPCHF.DWX,10010017,2026-05-01,Board-Advisor,active
1001,breakout-atr,18,GBPJPY.DWX,10010018,2026-05-01,Board-Advisor,active
1001,breakout-atr,19,GBPNZD.DWX,10010019,2026-05-01,Board-Advisor,active
1001,breakout-atr,20,GBPUSD.DWX,10010020,2026-05-01,Board-Advisor,active
1001,breakout-atr,21,GDAXI.DWX,10010021,2026-05-01,Board-Advisor,active
1001,breakout-atr,22,NDX.DWX,10010022,2026-05-01,Board-Advisor,active
1001,breakout-atr,23,NZDCAD.DWX,10010023,2026-05-01,Board-Advisor,active
1001,breakout-atr,24,NZDCHF.DWX,10010024,2026-05-01,Board-Advisor,active
1001,breakout-atr,25,NZDJPY.DWX,10010025,2026-05-01,Board-Advisor,active
1001,breakout-atr,26,NZDUSD.DWX,10010026,2026-05-01,Board-Advisor,active
1001,breakout-atr,27,UK100.DWX,10010027,2026-05-01,Board-Advisor,active
1001,breakout-atr,28,USDCAD.DWX,10010028,2026-05-01,Board-Advisor,active
1001,breakout-atr,29,USDCHF.DWX,10010029,2026-05-01,Board-Advisor,active
1001,breakout-atr,30,USDJPY.DWX,10010030,2026-05-01,Board-Advisor,active
1001,breakout-atr,31,WS30.DWX,10010031,2026-05-01,Board-Advisor,active
1001,breakout-atr,32,XAGUSD.DWX,10010032,2026-05-01,Board-Advisor,active
1001,breakout-atr,33,XAUUSD.DWX,10010033,2026-05-01,Board-Advisor,active
1001,breakout-atr,34,XNGUSD.DWX,10010034,2026-05-01,Board-Advisor,active
1001,breakout-atr,35,XTIUSD.DWX,10010035,2026-05-01,Board-Advisor,active
1002,davey-eu-night,0,AUDCAD.DWX,10020000,2026-05-01,Board-Advisor,active
1002,davey-eu-night,1,AUDCHF.DWX,10020001,2026-05-01,Board-Advisor,active
1002,davey-eu-night,2,AUDJPY.DWX,10020002,2026-05-01,Board-Advisor,active
1002,davey-eu-night,3,AUDNZD.DWX,10020003,2026-05-01,Board-Advisor,active
